epoch,accuracy,loss
0,0.21100725,1.2559833696910314
1,0.22183664,1.0142793229648046
2,0.214774,0.838062047958374
3,0.21292551,0.7414153856890542
4,0.21885464,0.642084858247212
5,0.21780832,0.5457209455115455
6,0.22167969,0.4932581015995571
7,0.21899414,0.41437860258987974
8,0.2180699,0.3693550314222063
9,0.22157505,0.3115404418536595
