epoch,0_conv_1x1_parts_accuracy,0_conv_1x1_parts_loss,1_conv_1x1_parts_accuracy,1_conv_1x1_parts_loss,loss
0,0.24543604,0.6514688,0.25016522,0.5971201,1.248588907307592
1,0.24185917,0.15055273,0.23998813,0.09514572,0.2456984761460074
2,0.24263264,0.06732209,0.25714427,0.053164136,0.12048624789920347
